date	edited_by	job	researched_by	source	state	statement	subjects	truth
2011-04-19		None	W. Gardner Selby	Mike Ford	Texas	"Says the fluoride Austin is putting in its drinking water is ""toxic waste."""	['Public Health']	1
2011-04-19	Therese Bottomly	Democrat	Ian K. Kullgren	Our Oregon	Oregon	"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities."""	['State Budget']	1
2011-04-19	Jim Tharpe	Republican	Willoughby Mariano, Eric Stirgus	Paul Broun	Georgia	Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.	['History']	1
2011-04-18	Martha M. Hamilton	Democrat	Robert Farley	Barack Obama	Illinois	"The Republican budget plan ""says that 10 years from now, if you’re a 65-year-old who’s eligible for Medicare, you should have to pay nearly $6,400 more than you would today."""	['Medicare']	4
2011-04-18	Martha M. Hamilton	Republican	Louis Jacobson	Michele Bachmann	Minnesota	"""The top 1 percent of income-earners pay about 40 percent of all taxes into the federal government."""	['Federal Budget', 'Taxes']	1
2011-04-18	Martha M. Hamilton	Republican	Louis Jacobson	Reince Priebus	Wisconsin	"""Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined."""	['Economy', 'Taxes']	3
2011-04-18	John Bartosek	Republican	Aaron Sharockman	Rick Scott	Florida	"""Hackers broke into Virginia's prescription-drug database (and) ... obtained more than 8.2 million patient records and a total of nearly 36 million prescriptions."""	['Drugs']	4
2011-04-18	Greg Borowski	Democrat	Tom Kertscher	Jesse  Jackson	Illinois	"Milwaukee is ""the most segregated city in America."""	['Civil Rights', 'Labor', 'State Budget']	4
2011-04-18	Brenda Bell, W. Gardner Selby	Republican	Meghan Ashford-Grooms	Jim Keffer	Texas	"""The costs of cancer and all affiliated issues are over $20 billion a year to this state."""	['Health Care']	5
2011-04-18	Elizabeth Miniet, Jim Tharpe	None	Willoughby Mariano	George Turner	Georgia	"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes."""	['Crime']	5
2011-04-18	Robert Higgs	Democrat	James Ewinger	Dennis Kucinich	Ohio	"""What we have done with the PATRIOT Act, we've given the government enormous powers. We've given the government the right to reach deeply into people's private lives, into their business affairs, without a court order."""	['Criminal Justice', 'Terrorism']	3
2011-04-17	Greg Borowski	Republican	Dave Umhoefer	Kathy  Nickolaus	Wisconsin	"Human error, such as skipping a community in the Wisconsin Supreme Court race, ""is common in (the vote-tabulation) process."	['Elections']	2
2011-04-17	Tim Murphy	Newsmaker	C. Eugene Emery Jr.	Bill Fischer	Rhode Island	"""Full marriage equality [would provide same-sex couples] with about 1,700 rights."""	['Civil Rights', 'Gays and Lesbians', 'Marriage']	2
2011-04-16	Warren Fiske	Republican	Jacob Geiger	George Allen	Virginia	"Tim Kaine proposed ""over $6 billion in tax increases from the time he entered the governor’s mansion until the time he left."""	['State Budget', 'Taxes']	3
2011-04-16	Therese Bottomly	None	Janie Har	Jeff Cogen	Oregon	"Multnomah County has faced ""11 straight years"" of cuts"	['County Budget']	3
2011-04-16	Brenda Bell	Democrat	Meghan Ashford-Grooms, Ciara O'Rourke, W. Gardner Selby	Joaquin Castro	Texas	"""43,000 people are going to be kicked out of nursing homes or denied nursing home entrance"" if the Texas House version of the state budget passes into law."	['Health Care', 'State Budget']	2
2011-04-15	John Bartosek		Aaron Sharockman	Brian Kilmeade		Says Gov. Rick Scott's approval ratings are up.	['Polls and Public Opinion', 'Pundits']	1
2011-04-15	Martha M. Hamilton	Democrat	Louis Jacobson, Patrick Kennedy	Peter DeFazio	Oregon	"""Medicare passed with virtually no Republican support."""	['Health Care', 'History', 'Medicare']	1
2011-04-15	Warren Fiske	Republican	Jacob Geiger	Jamie Radtke	Virginia	George Allen voted to add $3 trillion to the federal debt, voted to raise the debt ceiling four times and voted for the No Child Left Behind Act while he was a senator.	['Deficit', 'Education', 'Federal Budget']	5
2011-04-15		None	W. Gardner Selby	Texas Department of Transportation	Texas	"""A DWI costs $17,000."""	['Alcohol', 'Transportation']	2
2011-04-15	Martha M. Hamilton	Democrat	Louis Jacobson	Chris Van Hollen	Maryland	"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases."""	['Education', 'Federal Budget', 'Health Care', 'Science', 'This Week - ABC News']	4
2011-04-15	John Bartosek	Republican	Laura  Figueroa	Marco Rubio	Florida	"To pay for government growth, leaders of both parties ""borrowed $4 billion a day, leaving us with today's $14 trillion debt."""	['Deficit', 'Federal Budget']	4
2011-04-15	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Saxby Chambliss	Georgia	"""When we lower tax rates, we generate more in revenues. That happened in '86 with the Reagan plan, happened in 2001, following the Bush plan."""	['Federal Budget', 'Taxes']	3
2011-04-15	Tim Murphy	None	Richard Salit	Online petition	Rhode Island	"""For every [coyote] they kill, the population will replace and usually multiply."""	['Environment']	4
2011-04-14	Martha M. Hamilton	Democrat	Robert Farley	Barack Obama	Illinois	"""In the last decade, the average income of the bottom 90 percent of all working Americans actually declined. The top 1 percent saw their income rise by an average of more than a quarter of a million dollars each."""	['Economy', 'Federal Budget']	3
2011-04-14	Martha M. Hamilton	Democrat	Louis Jacobson	Barack Obama	Illinois	"""By the end of this decade, the interest we owe on our debt could rise to nearly $1 trillion."""	['Deficit', 'Federal Budget']	3
2011-04-14	Warren Fiske		Sean Gorman	Campaign for America's Future		"Says ""Congressman Eric Cantor wants to eliminate Social Security."""	['Social Security']	0
2011-04-14	Robert Higgs	Republican	Rich Exner, Tom Feran	Michael Turner	Ohio	"A space shuttle the National Museum of the United States Air Force near Dayton would be ""within a day's drive of 60 percent of the U.S. population."""	['Space', 'Tourism']	3
2011-04-13	Martha M. Hamilton	Republican	Angie Drobnic Holan	Mike Pence	Indiana	"A Republican proposal changes Medicare for those under age 55 so that they will  ""participate in the same kind of health plan that members of Congress do."""	['Corrections and Updates', 'Federal Budget', 'Health Care', 'Medicare', 'This Week - ABC News']	2
2011-04-13	Warren Fiske	Democrat	Jacob Geiger	Barack Obama	Illinois	"""Foreign aid makes up about 1 percent of our entire budget."""	['Federal Budget', 'Foreign Policy']	5
2011-04-13	Martha M. Hamilton		Robert Farley	Tim Pawlenty		"President Obama has ""stopped using the phrase 'war on terror.' """	['Homeland Security', 'Terrorism']	5
2011-04-13	John Bartosek	None	Aaron Sharockman	Florida Education Association	Florida	"""Politicians and their corporate lobbyists are trying to take away my right to spend my paycheck how I want."""	['Unions']	1
2011-04-13	John Bartosek	None	Aaron Sharockman	Florida Chamber of Commerce	Florida	"Says unions ""take away"" hard-earned money of teachers, firefighters and police officers to play politics."	['Unions']	1
2011-04-13	Jim  Denery, Jim Tharpe	Republican	Willoughby Mariano, Eric Stirgus	Paul Broun	Georgia	"Says the federal government borrows ""almost $60 billion per week."""	['Deficit', 'Federal Budget']	1
2011-04-12	Martha M. Hamilton	Republican	Louis Jacobson	Donald Trump	New York	President Obama has spent over $2 million in legal fees defending lawsuits about his birth certificate.	['Obama Birth Certificate']	1
2011-04-12	Warren Fiske	Republican	Jacob Geiger	Robert Hurt	Virginia	"A cap-and-trade bill would ""destroy over 50,000 jobs in Virginia."""	['Environment', 'Jobs', 'Regulation']	2
2011-04-12	Martha M. Hamilton		Angie Drobnic Holan	Tim Pawlenty		"""In 2009, we cut state spending in real terms for the first time in 150 years."""	['State Budget']	2
2011-04-12	John Bartosek	Democrat	Katie Sanders	Pink Slip Rick	Florida	Says Gov. Rick Scott lost Florida 331,247 jobs.	['Jobs']	0
2011-04-12	Greg Borowski	Republican	Dave Umhoefer	Sean Duffy	Wisconsin	"""The benefits that were offered to me as a congressman don’t even compare to the benefits that you get as a state employee. I just experienced that myself. They’re not nearly as good."""	['Candidate Biography', 'Federal Budget', 'Health Care', 'State Budget']	3
2011-04-12	Robert Higgs	Republican	Tom Feran	John Kasich	Ohio	"There was ""some sort of informal commitment to build a (psychiatric) building in downtown Cleveland."""	['State Budget']	1
2011-04-12	Jim Tharpe	Democrat	Willoughby Mariano, Eric Stirgus	Mark Warner	Virginia	"""There used to be 16 workers for every one person on Social Security. ... Now it’s three."""	['Deficit', 'Federal Budget']	5
2011-04-11	Therese Bottomly, Dee Lane	Democrat	Ian K. Kullgren	Mark Hass	Oregon	"""For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers."""	['Education', 'State Budget']	1
2011-04-11	Bill Adair	Republican	Angie Drobnic Holan	Donald Trump	New York	"""Libya supplies the oil for China. We get no oil from Libya."""	['China', 'Energy', 'Foreign Policy']	1
2011-04-11	John Bartosek	Democrat	Aaron Sharockman	Scott Randolph	Florida	"""We have a guy who is going to be speaker of the House in four years, and his name has been on the ballot one time."""	['Candidate Biography', 'Elections', 'Redistricting']	1
2011-04-11	Greg Borowski		Tom Kertscher	MoveOn.org		"The newly proposed House Republican budget ""abolishes Medicare within 10 years."""	['Federal Budget', 'Medicare']	1
2011-04-11	Warren Fiske	Democrat	Jacob Geiger, Sean Gorman	Jim Moran	Virginia	"""Over the past decade, the big five oil companies --- BP, Chevron, ConocoPhillips, ExxonMobil and Shell -- made a total profit of nearly $1 trillion."""	['Corporations', 'Energy', 'Taxes']	4
2011-04-11	Elizabeth Miniet, Jim Tharpe	Republican	Eric Stirgus	Saxby Chambliss	Georgia	"Says ""an average of $4 billion is added to the national debt"" every day."	['Federal Budget']	4
2011-04-11	Robert Higgs	Democrat	Reginald Fields	David Pepper	Ohio	"""Many states without collective bargaining, such as Arizona, Nevada and North Carolina, have far larger budget deficits than many that do, including Ohio."""	['Labor', 'State Budget']	4
2011-04-11		Republican	Meghan Ashford-Grooms	Stefani Carter	Texas	Says the Beaumont school district’s superintendent is the highest-paid in the state.	['Education']	3
2011-04-10		None	W. Gardner Selby	Meria Carstarphen	Texas	"Austin’s Pease Elementary ""is a school that was created as part of the Texas Constitution."""	['Education']	1
2011-04-10	Greg Borowski	Talk show host	Dave Umhoefer	Charlie Sykes	Wisconsin	"﻿Says JoAnne Kloppenburg’s side had a ""3-to-1 money advantage"" in the Wisconsin Supreme Court campaign."	['Campaign Finance']	0
2011-04-10	Tim Murphy	Democrat	Richard Salit	Richard Licht	Rhode Island	"Proposed fees for Rhode Island beaches will still be ""less than some of the town beaches."""	['Recreation', 'State Budget']	5
2011-04-09	Daniel Finnegan	Republican	Warren Fiske	Bob McDonnell	Virginia	"""When I took office last year we faced historic budget deficits of $6 billion here in Virginia.  And we closed those deficits by cutting spending."""	['Economy', 'State Budget']	2
2011-04-09	Therese Bottomly	Democrat	Janie Har	Michael  Denbrow	Oregon	"Undocumented students who qualify for in-state Oregon tuition are ""actively working toward U.S. citizenship."""	['Education', 'Immigration']	2
2011-04-09	W. Gardner Selby	Democrat	Ciara O'Rourke	Donna Howard	Texas	"""Fifty percent of our students who enter higher education need to take remedial courses because they are not prepared for college-level work."""	['Education', 'State Budget']	2
2011-04-08	Bill Adair	Republican	Louis Jacobson	Jon Kyl	Arizona	"Abortion services are ""well over 90 percent of what Planned Parenthood does."""	['Abortion', 'Federal Budget']	1
2011-04-08	Bill Adair	Republican	Louis Jacobson	Donald Trump	New York	"""I have the No. 1 show on NBC."""	['Candidate Biography', 'Pop Culture']	3
2011-04-08	John Bartosek	Organization	John Bartosek, Laura  Figueroa	Broward County Medical Association	Florida	In Florida, it’s not illegal for an immediate family member of state officials to prosper from legislation supported by a spouse.	['Ethics', 'Florida', 'Health Care', 'Legal Issues']	5
2011-04-08	Robert Higgs	Democrat	Sabrina  Eaton	Tim Ryan	Ohio	"""A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide."""	['Afghanistan', 'Military']	0
2011-04-08	Jim Tharpe	Republican	Willoughby Mariano	Herman Cain	Georgia	"Said Planned Parenthood’s early objective was to ""help kill black babies before they came into the world."""	['Abortion']	0
2011-04-08	Robert Higgs	Democrat	Sabrina  Eaton	Tim Ryan	Ohio	"""From '05 to '09, we've had 1,100 soldiers commit suicide, one every 36 hours."""	['Military']	5
2011-04-08	Tim Murphy	Democrat	Peter Lord	Roberto DaSilva	Rhode Island	"""We’re paying out-of-state residential facilities hundreds of thousands of dollars, if not more,"" to house children in state custody"	['Children', 'Families', 'State Budget']	4
2011-04-07	Bill Adair	Republican	Robert Farley	Donald Trump	New York	"Says President Obama's ""grandmother in Kenya said he was born in Kenya and she was there and witnessed the birth."""	['Obama Birth Certificate']	1
2011-04-07	Bill Adair	Republican	Louis Jacobson	John Boehner	Ohio	"""We’ve introduced a bill that includes $12 billion in cuts over the next week."""	['Federal Budget']	3
2011-04-07	Warren Fiske	Democrat	Jacob Geiger	Tim Kaine	Virginia	"Virginia was named ""best managed state, best state for business and best state to raise a child"" while I was governor."	['Children', 'Economy', 'Education', 'Elections', 'Small Business']	5
2011-04-07	Robert Higgs	Democrat	Aaron Marshall	Armond Budish	Ohio	"""Across the United States, 25 percent of voting age African Americans do not have the photo ID that this bill would require."""	['Elections']	3
2011-04-06	Martha M. Hamilton	Democrat	Louis Jacobson	Debbie Stabenow	Michigan	"A government shutdown ""could disrupt ... veterans' benefits."""	['Federal Budget', 'Government Efficiency', 'Military', 'Veterans']	5
2011-04-06	Martha M. Hamilton	Democrat	Louis Jacobson	Nancy  Pelosi	California	"Under a House Republican appropriations bill, ""6 million seniors are deprived of meals."""	['Corrections and Updates', 'Federal Budget', 'Hunger']	3
2011-04-06	Martha M. Hamilton		Louis Jacobson	Steve Moore		"The ratio of people working for the government and working in manufacturing today is ""an almost exact reversal of the situation in 1960."""	['Economy', 'Federal Budget', 'History', 'Jobs', 'Labor']	3
2011-04-06	Martha M. Hamilton	Democrat	Angie Drobnic Holan	Barbara  Boxer	California	Says House Republicans rejected a straightforward measure that would prevent members of Congress and the president from being paid during a government shutdown.	['Ethics', 'Federal Budget', 'Voting Record', 'Workers']	4
2011-04-06	Martha M. Hamilton	Republican	Louis Jacobson	Reince Priebus	Wisconsin	"""We’ve lost 26 million jobs … since (Obama’s) been president."""	['Economy', 'History', 'Jobs']	0
2011-04-06	Greg Borowski	Republican	Dave Umhoefer	Ron Johnson	Wisconsin	For the first time in U.S. history, a personal inaction will be deemed unlawful -- not purchasing a health-insurance plan	['Health Care']	1
2011-04-06	Brenda Bell	Democrat	Ciara O'Rourke	Mike Villarreal	Texas	"""The only segment in the beer market that is growing is the craft beer segment."""	['Alcohol', 'Regulation', 'Small Business']	5
2011-04-06	Tim Murphy	Newsmaker	C. Eugene Emery Jr.	James Roosevelt	Rhode Island	Three courts have found the new health care law constitutional and two have found it unconstitutional.	['Health Care', 'Legal Issues']	5
2011-04-05	Martha M. Hamilton	Democrat	Louis Jacobson	Charles Rangel	New York	"""Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war."""	['Foreign Policy', 'Legal Issues', 'Military']	3
2011-04-05	John Bartosek	Democrat	Aaron Sharockman	Bob Graham	Florida	"""Since 1990, in inflation-adjusted dollars, per-student funding of the (Florida) state university system from general revenue has dropped by about $4,000."""	['Education', 'State Budget']	4
2011-04-05	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Newt Gingrich	Georgia	"Says ""some [states] with the largest reductions in crime have also lowered their prison population."""	['Crime', 'Criminal Justice', 'State Budget']	5
2011-04-05	Robert Higgs	Republican	Stephen Koff	Jim Jordan	Ohio	"The federal government has ""77 different means-tested social welfare programs."""	['Federal Budget', 'Government Efficiency']	5
2011-04-04	John Bartosek	Republican	Becky Bowers	Marco Rubio	Florida	"""Corporate taxes will soon be the highest in the industrialized world."""	['Corporations', 'Taxes']	4
2011-04-04	Martha M. Hamilton	Columnist	Louis Jacobson	George Will	Maryland	"""We lost more jobs in this great recession than the last four recessions combined."""	['Economy', 'Jobs', 'Labor', 'This Week - ABC News']	5
2011-04-04	Bill Adair		Louis Jacobson	Tim Pawlenty		"""Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion."""	['Deficit']	4
2011-04-04	Warren Fiske	Republican	Sean Gorman	George Allen	Virginia	A majority of the American people opposed the health care law when it was signed and still oppose it today.	['Health Care']	4
2011-04-04	Jane Kahoun	Republican	Tom Feran, Aaron Marshall	William G. Batchelder	Ohio	"Says a photo ID voting law in Georgia didn't dissuade black voters from participating in voting. ""It hasn't, it doesn't, and apparently, if you do cause and effect in that state, it's been helpful."""	['Elections']	3
2011-04-04	Elizabeth Miniet, Jim Tharpe		Willoughby Mariano	Sally Bethea		"""In three years we could find close to 50 million gallons per day through a toilet replacement program."""	['Environment', 'Water']	4
2011-04-04	Brenda Bell	Republican	Meghan Ashford-Grooms	Jimmie Don Aycock	Texas	"""Some of the colleges, including A&M, have already guaranteed that they will not increase their tuition."""	['Education', 'State Budget']	2
2011-04-03	Tim Murphy	Labor leader	C. Eugene Emery Jr.	James Cenerini	Rhode Island	"When you compare our state pension system ""to other systems throughout the country, our benefits are not gold-plated. They are not rich. They are actually average or below average."""	['Retirement', 'State Budget', 'Taxes', 'Workers']	3
2011-04-02	Greg Borowski	None	Joe Carey	Jason Haas	Wisconsin	Milwaukee lost the headquarters for MillerCoors because the area lacks good transit.	['Jobs', 'Transportation']	1
2011-04-02	Dee Lane	None	Ian K. Kullgren	Rob Bovett	Oregon	Since Oregon’s prescription-only law took effect, meth lab incidents have dropped by 96 percent and meth-related arrests by 32 percent.	['Crime', 'Drugs']	5
2011-04-02	Brenda Bell	Democrat	Ciara O'Rourke	Sylvester Turner	Texas	"""Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else."""	['Health Care', 'Housing', 'State Budget']	4
2011-04-01	Bill Adair	Republican	Louis Jacobson	Donald Trump	New York	South Korea doesn't pay the United States for U.S. troops that protect their country.	['Federal Budget', 'Foreign Policy', 'Military']	1
2011-04-01	Greg Borowski	Republican	Dave Umhoefer	Jeff Stone	Wisconsin	"Says Chris Abele, opponent in Milwaukee County executive race, ""failed to finish 3 separate colleges, dropping out all 3 times."""	['Candidate Biography', 'Education']	4
2011-04-01	Greg Borowski	None	Tom Kertscher	Citizens for a Strong America	Wisconsin	"Says Wisconsin Supreme Court candidate JoAnne Kloppenburg ""put an 80-year-old farmer in jail for refusing to plant native vegetation on his farm."""	['Candidate Biography', 'Legal Issues']	0
2011-04-01	John Bartosek	None	Aaron Sharockman	John Buss	Florida	"Tallahassee is ""the ninth-rainiest (city) in the nation."""	['Weather']	4
2011-04-01	Daniel Finnegan	Republican	Warren Fiske	Eric Cantor	Virginia	"Discretionary spending has ""increased over 20-some percent in two years if you don’t include the stimulus. If you put in the stimulus, it’s over 80 percent."""	['Economy', 'Federal Budget', 'Stimulus']	3
2011-04-01	Martha M. Hamilton		Angie Drobnic Holan	Tim Pawlenty		"""From 1960, the year I was born, until the time I became Governor in 2003, the average two-year increase in Minnesota state spending was 21 percent. … we brought that down dramatically, to about 1.7 percent per year."""	['State Budget']	3
2011-04-01	Bill Adair		Robert Farley	Americans United for Change		"Says Majority Leader Eric Cantor called for ""abolishing Social Security and Medicare."""	['Federal Budget', 'Medicare', 'Social Security']	1
2011-04-01	John Bartosek	Republican	Aaron Sharockman	J.D. Alexander	Florida	Says the Southwest Florida Water Management District has $850 million in reserves, enough money in savings to run without levying taxes for more than two years.	['Taxes', 'Water']	1
2011-04-01	Greg Borowski	None	Tom Kertscher	JoAnne Kloppenburg	Wisconsin	"PolitiFact Wisconsin ""concluded that the charge that Justice Prosser prejudges matters that come before the court is True."""	['Candidate Biography', 'Legal Issues']	0
2011-04-01	Greg Borowski	None	James B. Nelson	David Prosser	Wisconsin	Says Supreme Court candidate JoAnne Kloppenburg’s record as a state Justice Department lawyer consists only of the prosecution of cases regarding regulation of docks.	['Candidate Biography', 'Environment', 'Legal Issues']	0
2011-04-01		Republican	Meghan Ashford-Grooms	John Cornyn	Texas	Says that during the first 19 months of the Obama administration, the U.S. detained people from nations designated as state sponsors of terrorism on the southwestern border.	['Immigration', 'Terrorism']	3
2011-04-01	Jim  Denery, Jim Tharpe	Republican	Willoughby Mariano	Johnny Isakson	Georgia	"""There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s."""	['Nuclear']	5
2011-03-31	Warren Fiske	Republican	Jacob Geiger	Morgan Griffith	Virginia	"""Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan."""	['Health Care']	2
2011-03-31	Bill Adair	Republican	Louis Jacobson	Rick Santorum	Pennsylvania	"""A third of all the young people in America are not in America today because of abortion, because one in three pregnancies end in abortion."""	['Abortion', 'Health Care', 'Social Security']	1
2011-03-31	John Bartosek	Republican	John Bartosek, Laura  Figueroa	Rick Scott	Florida	"""Before this (federal health care) law was enacted, Florida parents ... were able to purchase inexpensive 'child-only' coverage for their children. The law’s 'consumer protections' have now eliminated that choice in Florida."""	['Children', 'Florida', 'Health Care']	1
2011-03-31	Greg Borowski	None	Tom Kertscher	Greater Wisconsin Committee	Wisconsin	Says David Prosser = Scott Walker.	['Candidate Biography', 'Job Accomplishments', 'Labor', 'State Budget']	3
2011-03-31	Jane Kahoun	Republican	Sabrina  Eaton	John Boehner	Ohio	"Says the Patient Protection and Affordable Care Act adopted last year contains ""a series of slush funds, set up to stay on the books automatically, with little or no oversight."""	['Health Care']	0
2011-03-31	Tim Murphy	Labor leader	Peter Lord	George Nee	Rhode Island	"""Public sentiment in favor of collective bargaining and in favor of the unions has actually gone up as these governors, I think, have overreached and gone too far and tried to destroy the labor movement."""	['Labor', 'Polls and Public Opinion', 'Unions', 'Workers']	2
2011-03-30	Martha M. Hamilton		Louis Jacobson	Tim Pawlenty		"""Ultimately, after an exhaustive investigation,"" the National Transportation Safety Board concluded that a Minneapolis bridge collapsed in 2007 ""because of an original design flaw dating back to the 1960s."""	['Transportation']	4
2011-03-30	John Bartosek	None	Aaron Sharockman	Free Market Florida	Florida	Says new EPA water regulations would force the state to make drainage canals every bit as clean as pristine Florida river systems.	['Environment', 'Water']	4
2011-03-30	Warren Fiske	Democrat	Jacob Geiger	Babur Lateef	Virginia	Since Corey Stewart became chairman in November 2006, unemployment is up 150% and average home price sales are down $150,000.	['Economy', 'Housing', 'Jobs']	3
2011-03-30	Greg Borowski, Steve Schultze		Dave Umhoefer	Chris Abele		Says Jeff Stone = Scott Walker.	['Candidate Biography', 'Job Accomplishments', 'State Budget', 'Taxes']	4
2011-03-30	Jim  Denery, Jim Tharpe	None	Eric Stirgus	Calvine Rollins	Georgia	Georgia public sector employees do not have a say in the conditions of their employment, do not have bargaining rights or a say in their working conditions.	['Unions', 'Workers']	2
2011-03-30	Robert Higgs	Democrat	Stephen Koff	Sherrod Brown	Ohio	"The ""House-passed budget proposal could cut funding for programs that help keep local neighborhoods safe, slash more than $1.7 million in anti-terror funds for Ohio."""	['Crime', 'Criminal Justice', 'Federal Budget']	5
2011-03-29	Martha M. Hamilton	Republican	Robert Farley	Michele Bachmann	Minnesota	"""One. That's the number of new drilling permits under the Obama administration since they came into office."""	['Energy', 'Oil Spill']	0
2011-03-29	Martha M. Hamilton	Democrat	Louis Jacobson	Barack Obama	Illinois	"""Regime change (in Iraq) took eight years"""	['Foreign Policy', 'Military']	3
2011-03-29	Martha M. Hamilton	Republican	Louis Jacobson	Karl Rove	Texas	"""American troops have never been under the formal control of another nation."""	['Foreign Policy', 'Military']	1
2011-03-29	John Bartosek	Republican	Aaron Sharockman	Larry Ahern	Florida	"""We don't need a separate (prescription drug) database ... Pharmacies already have a database in place."""	['Drugs', 'Health Care', 'Public Health']	1
2011-03-29	Greg Borowski	None	Tom Kertscher	Greater Wisconsin Committee	Wisconsin	As a prosecutor, Wisconsin Supreme Court Justice David Prosser did not investigate or file charges in a case involving 30-year pedophile priest, then participated in cover-up.	['Legal Issues']	2
2011-03-29	Jim  Denery, Jim Tharpe		Eric Stirgus	Young Americans for Liberty		"""Every taxpayer owes about $130,000 to pay off the national debt."""	['Federal Budget']	4
2011-03-28	Greg Borowski		James B. Nelson	Chris Abele		Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.	['Labor']	4
2011-03-28	Jim  Denery, Jim Tharpe		M.B. Pell	Joel Keehn		The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.	['Science']	5
2011-03-28	Therese Bottomly	Republican	Ian K. Kullgren	Dennis Richardson	Oregon	"""Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families."""	['Health Care', 'State Budget']	1
2011-03-28	Robert Higgs	Democrat	Tom Feran	Dennis Kucinich	Ohio	"Says none of the government programs targeted for elimination or severe cutback in House Republican spending plans ""appeared on the GAO's list of government programs at high risk of waste, fraud and abuse."""	['Deficit', 'Federal Budget', 'Government Efficiency']	5
2011-03-28	Brenda Bell, W. Gardner Selby	Republican	Meghan Ashford-Grooms, Ciara O'Rourke	Michael McCaul	Texas	"Says a Lubbock terror suspect’s alleged plan ""to use baby dolls to conceal chemical explosives"" is similar to a 1995 plot ""to blow up 12 jumbo jets over the Pacific Ocean."""	['Terrorism']	5
2011-03-27	Greg Borowski	None	Tom Kertscher	JoAnne Kloppenburg	Wisconsin	"Says Wisconsin Supreme Court Justice David Prosser ""has prejudged matters that are likely to come before the court."""	['Legal Issues']	2
2011-03-27	Tim Murphy	Democrat	Peter Lord	Jon Brien	Rhode Island	"Woonsocket needs a garbage-burning power plant because ""residents are paying through the nose for electricity that’s fueled by foreign oil, at prices that are skyrocketing."""	['Economy', 'Energy', 'Environment']	0
2011-03-26	Warren Fiske	Democrat	Jacob Geiger	Jim Moran	Virginia	Ending federal funding for National Public Radio would jeopardize 9,000 jobs.	['Jobs']	1
2011-03-26	W. Gardner Selby	Republican		Wayne Christian	Texas	"Central Health ""is the only hospital district in Texas that spends taxpayer dollars on abortions."""	['Abortion']	5
2011-03-26	Therese Bottomly	Republican	Ian K. Kullgren	Kim Thatcher	Oregon	"Oregon concealed gun applications include ""home phone numbers, home address, Social Security numbers, what kinds of guns you have in the house … whether you were dishonorably discharged from the military, what controlled substances you are taking and  were you ever accused of -- accused, mind you -- of stalking."""	['Guns', 'Privacy']	4
2011-03-25	Martha M. Hamilton		Angie Drobnic Holan	WorldNetDaily		"""A U.S. Government Accountability Office report says Planned Parenthood Federation of America cannot find some $1.3 billion given to it by the federal government from 2002 through 2008."""	['Abortion', 'Federal Budget']	0
2011-03-25	John Bartosek		Aaron Sharockman	Grover Norquist		"""Withheld union dues fund half of Dem (Democratic) campaigns in Florida."""	['Labor']	0
2011-03-25	Jim  Denery, Jim Tharpe		Willoughby Mariano	Nathan Deal		"The HOPE scholarship ""has helped turn our University System into one of the best in the Southeast, with two institutions ranked in the top 20 of public universities in the country."""	['Education']	4
2011-03-25	Robert Higgs	Democrat	Joe Guillen	Armond Budish	Ohio	"Says ""legislation pending in the House would effectively limit or eliminate ‘time-and-a-half’ for people who work overtime."""	['Labor', 'Small Business', 'Workers']	4
2011-03-25	Tim Murphy	Democrat	C. Eugene Emery Jr.	Joseph McNamara	Rhode Island	"""About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese."""	['Children', 'Public Health']	3
2011-03-24	Martha M. Hamilton		Robert Farley	Lawrence O'Donnell		"""Most Americans live within 50 miles of a nuclear power plant."""	['Energy', 'Nuclear', 'Public Safety', 'Pundits']	5
2011-03-24	Bill Adair	Democrat	Laura  Figueroa	Bill Nelson	Florida	"""The entire state of Florida led the nation last year with the most prison inmates committing tax fraud."""	['Corrections and Updates', 'Crime', 'Taxes']	5
2011-03-24	Greg Borowski	Republican	Tom Kertscher	Scott Fitzgerald	Wisconsin	"Wisconsin was embroiled in a ""constitutional crisis"" brought on by the Democratic senators fleeing the state for Illinois to block Gov. Scott Walker's budget-repair bill."	['Federal Budget', 'Medicare', 'Social Security']	2
